,account_id,count
1679,128057,943
16488,3652359,745
344,24835,707
6560,1113377,682
10689,2074046,499
9932,1933238,428
21605,5381002,320
980,74995,303
21487,5348103,281
4379,482944,273
13537,2757074,265
17878,4002670,245
5140,725749,237
10410,2018337,234
23401,5918889,230
1902,148932,229
1199,89837,220
24841,6311966,205
10475,2031150,201
13203,2643154,198
8030,1531991,197
3199,320562,195
17740,3975871,193
9223,1759763,190
2170,171429,190
5265,761247,189
2,31,187
14071,2957932,187
3638,378055,186
5260,760306,185
1364,101928,182
17824,3992793,181
20277,5023193,180
15352,3349663,177
1334,99482,177
11865,2303016,175
8712,1672579,173
3091,306977,170
1896,148297,168
5883,952349,167
4751,553193,165
15476,3382939,163
20881,5184651,161
7026,1253803,158
23415,5923217,158
8340,1587232,157
2391,199067,155
12096,2348075,155
18150,4062012,154
19857,4842286,153
3552,366229,152
20776,5160489,152
7027,1253883,151
326,23291,148
8381,1596662,148
19243,4490419,146
19464,4578740,145
3209,321627,144
9527,1847368,144
12407,2416335,142
22047,5511959,139
4531,515373,136
6905,1220281,135
18213,4078979,134
21915,5477678,134
24294,6159315,134
211,15766,133
8630,1642467,133
21145,5246511,133
13352,2693289,132
21950,5486137,130
12413,2418760,130
17041,3798116,129
20551,5114131,128
8320,1583257,127
16089,3542699,125
11995,2328643,124
5077,709406,124
12394,2413422,124
14127,2978090,122
8940,1713342,122
21352,5302893,121
10913,2109947,120
2335,193632,120
413,30888,120
2830,262032,119
23658,5979543,119
12604,2463391,118
12157,2359405,118
9105,1743514,118
15244,3321804,117
12627,2468381,116
7,311,116
1103,81218,115
7596,1425992,115
13008,2583928,115
8810,1696309,115
13561,2766733,115
15260,3326194,115
7293,1330315,114
1147,85701,114
23596,5968797,114
24075,6101495,113
5250,756716,113
11672,2258216,113
13679,2806231,112
11112,2143281,111
2035,160446,110
5833,936751,110
1006,76595,109
7094,1272690,109
1005,76559,108
1652,125854,107
3232,322959,107
17392,3881730,107
10081,1970357,107
24984,6355958,106
26250,6657794,106
19408,4565428,106
15792,3464048,106
20049,4900496,106
4423,493585,105
1627,124314,105
18358,4116037,105
9737,1900581,104
8799,1694312,103
3863,405002,103
25714,6573164,103
3485,353595,101
16579,3674070,101
7234,1310998,100
5744,905756,99
1709,130785,99
3610,373403,98
2387,198742,97
9585,1863364,97
18933,4328448,97
4555,518785,97
4964,608181,97
2046,161744,97
51,4411,96
24048,6092833,96
21619,5386082,96
21045,5220475,95
19614,4623231,95
17189,3831806,95
6635,1129542,94
11107,2142260,94
20811,5168816,93
1487,113146,93
2238,181053,93
1752,134112,93
18562,4170365,93
11993,2328423,92
21161,5249864,92
10633,2063678,92
7218,1306737,92
1923,150322,91
5507,833712,91
5223,743520,90
14152,2986593,90
6408,1080140,89
1729,131737,89
21548,5364166,89
10629,2063379,89
7680,1451795,89
11276,2177039,88
13412,2712700,88
25393,6482390,88
12152,2358515,87
13729,2828167,87
17364,3876047,87
1187,88772,87
17240,3843177,87
13429,2719834,87
3898,410456,87
12716,2488669,86
10595,2056162,86
8599,1639065,86
8504,1617589,85
26089,6634070,85
19825,4837080,85
26530,6684065,85
17217,3838167,84
18524,4156807,84
20794,5164178,83
10222,1989930,83
5389,789950,83
10278,1994913,83
647,50472,83
3687,383003,82
721,57259,82
9518,1845483,82
3164,313204,82
19053,4394458,82
3365,341500,82
13109,2615140,81
4481,509111,81
15500,3388797,81
15835,3474770,80
1758,134425,80
17818,3991647,80
747,59104,80
4909,591423,79
15567,3408365,79
20422,5088628,79
7106,1274889,79
5752,908552,79
15187,3308253,79
10071,1968058,78
10360,2008083,78
3482,353404,78
18212,4078918,78
7179,1294893,77
7557,1414931,77
24459,6201866,77
20219,4987648,76
3962,417468,76
2549,220019,76
3241,323389,76
2187,172760,76
7393,1357645,76
20748,5155140,75
3323,334402,75
4361,479795,75
13182,2636850,75
19815,4835914,74
17380,3880138,74
23793,6014835,74
181,14117,74
2115,167098,73
4196,444457,73
10839,2097380,73
19931,4859351,73
6130,1014912,73
9467,1824013,73
3720,385670,73
10989,2123186,72
22252,5573028,72
13487,2740413,72
22582,5660766,72
24220,6139136,71
12818,2516571,71
