,Unnamed: 0,id,username,created_at,note,followers_count,following_count,statuses_count
13,13,106991,GeorgiaLogCabin,2016-12-07T01:27:58.000Z,"you don't have to be from georgia to follow us! news for conservative, libertarian, independent & moderate gay, lesbian & straight republicans #gagop #gapol",14113,6762,18325
61,61,101026,BardParker,2016-12-01T20:55:41.000Z,"i'm guessing that if you don't put something here it's set up to put something here for you, and if you don't want a machine or tech support speaking for you, you should fill this space.",7388,5063,460471
94,94,1086855,JoeMengele67,2019-04-25T16:03:59.000Z,"i am a proud national socialist. ""and the scales were lifted from my eyes.""- adolf hitler. i challenge all white men and women to take up the vengeful sword of the one true god and fight with me against the filthy evil jew and his minions. read: john 8:44. meine ehre hei t treue! 14/88. us navy vet, husband, father and grandpa. my pronouns are fuck you, you degenerate trash. friends, let's not beat around the bush anymore; hitler was admittedly a protestant christian and always will be.",1219,1049,17268
242,242,1109113,Death2TheLeft,2019-05-16T17:13:02.000Z,i like long walks in the woods and jewish expulsions. dark humor parody account rife with edgy antisemitisms and racial bantery. or is it,2677,3276,110081
284,284,1105452,danthemason,2019-05-12T23:38:00.000Z,justice can t be rooted in falsehoodfreedom is non-negotiablethere is objective reality.evil exists.strive for testicular fortitudeachieve pragmatic intelligencedanthemason.com,4527,9230,12531
288,288,101857,SpatialRecognition,2016-12-03T20:25:36.000Z,former pro musicianfringe,1108,1140,110
444,444,1132426,Moonshadow312,2019-06-13T01:20:27.000Z,proudly banned from multiple social media platforms.,1663,2500,2819
479,479,1060065,Jonah210,2019-03-22T19:28:16.000Z,"i am just an average guy who has had his eyes open to the truth, or at least some of it. everything i've ever believed about my country, my world, my species is up for debate. i worship no graven images, no false idols and no human beings, no political parties and no ideologies.",789,1709,7017
499,499,1014484,kirkcp,2019-03-04T21:05:05.000Z,"our people will know peace when the sons of europe raise the dragon against the state of israel and it's international co-conspirators.one people, one struggle, one fight.europa music 3/75 ranger regimentsua sponterltw",2118,2223,26758
796,796,103248,outlawjjsmith,2016-12-06T22:21:38.000Z,"100% trump :chad: usa, wwg1wga, mega, retired air force special operations conservative christian, back the blue, iii% guardians of freedom :qanon: :snek:",5961,9368,17237
803,803,1042584,SirBatman,2019-03-14T03:18:52.000Z,"exposing evil and their lies.not here for personal dm's especially from hookerbot accounts. my long time relationship with catwoman, is well, difficult enough. have information or research you wish to share, send links with info.",5680,5979,214620
808,808,1029091,Archer45,2019-03-10T02:55:24.000Z,"the further a society drifts from the truth, the more it will hate those that speak it. - george orwell",2866,4485,22433
849,849,1184843,Mojo_Risin,2019-07-14T14:23:58.937Z,"i can only show you the door, you are the one that needs to walk through",6159,6226,1571
855,855,1041469,Sslade50,2019-03-14T00:07:38.000Z,"mom, wife, friend to many! loyal to the bone unless you do me wrong! standing up for what is right love my country! protect our constitution and our civil liberties god bless america! #maga truth! freedom warrior patriot and want to protect the 1a & 2a no dm's plz!",3666,5933,7215
910,910,102662,JCHR,2016-12-06T10:04:05.000Z,"we need small government, but big people. destroy globalism and the fraudulent un, who, eu and the wef. claims of man-made climate change are unscientific and covid a tyrannical crime.""no weapon formed against me shall prosper; and every tongue that arises against me in judgment i shall condemn.""re-posts = endorsements.",5124,4973,39901
917,917,1019980,GT777,2019-03-06T15:53:43.000Z,,4226,5093,61079
927,927,117129,racketmensch,2016-12-10T22:58:01.000Z,"""worst public transportation surveillance video release policy ever!""",5043,5328,2754
