account_id	exact_level_found
1	0
27	5
31	3
51	2
248	0
251	2
265	0
311	4
361	0
371	0
381	0
528	0
624	0
632	0
719	2
749	2
760	0
777	2
811	0
815	0
891	0
970	2
978	0
1019	3
1153	1
1535	0
1759	0
1899	1
1983	0
2018	0
2176	2
2255	3
2427	5
2557	0
2648	0
2674	0
2710	0
2826	0
2978	2
3020	0
3099	2
3146	2
3230	1
3319	0
3477	2
3736	1
3828	4
3836	0
3997	2
4249	2
4307	2
4411	5
4519	0
4830	1
4984	0
5012	4
5029	1
5110	3
5117	2
5124	1
5196	2
5204	0
5220	2
5291	1
5477	0
5602	1
5686	0
5712	2
5980	2
6072	2
6088	1
6158	0
6194	2
6398	0
6435	1
6470	5
6495	0
6555	2
6623	0
6943	1
7106	0
7217	0
7334	0
7436	1
7449	2
7492	0
7652	0
7687	2
7876	2
8004	2
8007	0
8226	2
8337	2
8369	0
8373	0
8391	2
8448	0
8459	4
8576	5
8589	0
8605	5
8640	2
8713	3
8836	0
8998	2
9008	2
9046	0
9131	2
9145	0
9218	1
9232	0
9283	2
9290	5
9305	0
9318	0
9373	2
9379	2
9398	0
9416	0
9475	5
9479	0
9534	2
9749	3
9944	2
9972	5
10021	5
10022	0
10153	4
10381	0
10462	0
10574	1
10633	0
10735	4
10736	2
10773	0
10927	0
10935	0
10964	1
11150	0
11185	4
11205	2
11343	4
11372	2
11400	0
11460	2
11494	0
11502	0
11517	0
11539	1
11541	2
11557	2
11573	0
11722	2
11760	0
11810	1
11991	2
12003	0
12039	1
12056	1
12141	0
12192	2
12277	1
12306	0
12321	1
12407	4
12425	1
12439	5
12474	0
12611	1
12990	0
13114	0
13199	0
13580	1
13622	0
14052	0
14070	2
14117	2
14194	0
14196	0
14210	0
14211	0
14228	0
14276	2
14400	1
14431	4
14479	1
14525	0
14624	1
14661	1
14679	1
14691	2
14698	2
14703	3
14715	3
14727	2
14756	2
14816	0
14827	2
14947	0
15058	4
15078	0
15311	0
15331	1
15346	1
15632	0
15766	2
15838	0
16196	2
16327	4
16617	2
16728	3
16758	1
16762	0
16836	0
16864	2
16897	5
16901	0
16914	0
17033	0
17110	1
17121	1
17176	0
17378	3
17392	0
17477	0
17574	4
17607	3
17739	0
17745	0
17751	1
17753	0
17786	1
17834	2
17938	0
17942	0
17959	0
17983	1
18092	2
18114	1
18141	1
18179	4
18242	1
18311	4
18332	0
18347	0
18567	0
18625	2
18682	1
18688	0
18788	2
18802	0
18830	1
18842	0
18861	0
18930	0
19031	0
19135	0
19188	4
19215	0
19264	1
19335	0
19339	2
19351	0
19388	0
19429	2
19432	0
19449	0
19469	2
19472	2
19513	0
19515	0
19592	0
19613	1
19618	0
19620	1
19655	1
19657	2
19753	0
19873	0
19901	2
19959	1
20201	4
20502	1
20945	1
21034	1
21071	5
21108	2
21139	2
21144	2
21172	2
21174	0
21179	2
21188	0
21357	0
21461	0
21472	0
21519	1
21545	1
21679	2
21868	0
21880	0
21962	1
22421	0
22542	4
22782	1
22902	2
23020	1
23028	2
23048	0
23122	0
23142	0
23146	3
23163	0
23288	4
23291	3
23337	1
23554	4
23697	0
23703	0
23810	1
24068	2
24077	0
24143	0
24175	2
24205	0
24265	2
24267	1
24270	0
24299	1
24436	2
24600	2
24805	0
24835	3
24853	5
24859	1
24868	3
25032	0
25086	0
25251	2
25272	3
25419	0
25578	2
25585	0
25610	4
25647	2
25798	1
25826	2
25919	2
25964	1
25989	2
26300	1
26327	4
26391	0
26601	2
26677	0
26793	0
26876	0
26942	0
26995	4
27025	1
27265	1
27303	4
27468	0
27555	0
27584	5
27693	1
27825	1
28024	0
28083	1
28150	2
28233	4
28236	1
28444	0
28449	0
28498	1
28904	2
29351	4
29411	0
29474	0
29492	1
29549	1
29592	0
29669	1
29691	0
29808	0
29901	0
30048	1
30081	0
30088	2
30339	2
30450	0
30511	0
30602	2
30614	0
30632	0
30660	1
30755	0
30824	0
30852	0
30877	2
30885	0
30888	5
30894	0
30920	2
30968	0
30985	1
31029	2
31130	3
31194	2
31278	4
31320	2
31328	1
31511	5
31585	3
31661	4
31677	0
31690	4
31952	2
31962	0
31965	4
31984	0
32043	4
32094	2
32192	2
32347	5
32399	2
32412	0
32444	1
32469	2
32632	1
32713	1
32765	0
32860	0
32866	2
33064	0
33092	0
33135	1
33149	1
33553	5
33645	2
33651	2
33676	2
33750	1
33846	2
33856	2
33919	0
34008	1
34102	0
34385	5
34496	5
34582	4
34749	1
35211	4
35332	3
35363	2
35422	1
35454	0
35472	2
35485	2
35577	0
35710	1
35792	0
35907	1
35923	2
35976	2
36080	0
36136	0
36224	1
