,Unnamed: 0,id,username,created_at,note,followers_count,following_count,statuses_count
35971,35971,758264,Landcrusier68,2018-09-25T19:42:33.000Z,conservative ididthe6 trump greatest president ever kag,339,462,2463
15406,15406,2278294,snack1,2021-01-09T14:58:23.609Z,bruh,112,287,193
20301,20301,3509122,sarahc351inconnue,2021-01-13T10:51:58.537Z,charlottesarahlouiseinconnuewordpresscom france marinelepen me lenchon zemmour philippot dupontaignan asselineau lassalletrump poutine carloalbertobrusa reaction19httpsgettrcomusersarahinconnue marieloup facebook a bloque 5 comptes avant le lection pre sidentielle franc aise 2017~2008droit a lanonymat liberte ils suspendent des comptes impossible de sauvegarder archiver ils de truisent les blogs me moiresmacrondestition twittercomcharlottesarrah,330,787,3303
98679,98679,3798305,Mysh1e,2021-01-16T20:59:39.890Z,godfamily countryproud american dedicated wife mother of two who believes in the right to bare a firearm and cherishes my crazy border colliesiberian husky chubbs she is a doll love fishing reading canning and joking around with my husband and kids,138,60,4413
23952,23952,1267328,JohannesNormann,2019-09-22T20:32:40.539Z,ka mpfer fu r freiheit und recht vom mittelpunkt des widerstandsbiotops hist freigericht,246,288,86
40275,40275,6105829,Cheryl_NobodyReally,2022-10-05T20:23:02.703Z,freedom liberty and truth anticensorship no to the wef nwo and digital id do not comply,45,61,34
51130,51130,2213759,RaeAllDay,2021-01-09T08:00:11.553Z,pro trump since alwayssmall town girl living in a virtual world,819,1347,3868
43989,43989,2194634,MarkTower,2021-01-09T05:20:41.119Z,there is however a limit at which forbearance ceases to be a virtue edmund burke,712,1410,764
17813,17813,261489,Murry425,2017-09-06T19:52:31.000Z,presently social media director of american indian veterans memoral incauthor of homeless in homestead the audubon caper three x wives of don quixote smith homeless in homestead blogger conniesbrotherblogspotcom25 years in the caribbean hotel indformer green beret oi specialist vietnam vet,273,371,2282
7685,7685,141450,SaneGoatiSwear,2017-02-09T03:26:42.000Z,voat couldnt handle me i doubt gab cani have now been censored on voatco and on gab sanegoatiswear is a parody account not a real person because sgis is the idea of free speech and we all know theres no free speech,4018,18652,12701
99631,99631,130671,hellenism,2017-01-08T04:46:40.000Z,in a time of universal deceit telling the truth is a revolutionary act george orwell,129,57,2818
66162,66162,1347116,Latw444,2019-12-27T02:13:01.458Z,patriot maga kag love following patriots together we are victorious,138,107,4158
79901,79901,1999577,Badkracker13,2020-12-15T20:35:55.120Z,twitter nuked 3 accounts censorship sucks godblessamericaproud american veteran the end justifies the memes,335,463,1002
89580,89580,3094901,Jojustice6,2021-01-11T13:14:15.496Z,godfamilycountrywife of 23 years mother of 4proud conservativesmall business owner,57,195,922
94891,94891,2250046,Deplorablesue1,2021-01-09T13:12:45.411Z,patriot god bless america i love and support president trump,22,54,137
75446,75446,5693218,IntelMarine68,2022-01-21T19:37:03.306Z,marine veteran that believes in the constitution above all libertarian with a little anarchist i teach survival preparedness and tactical skills looking to connect with like minded individualsit is past time for us to stand to resist we have let them erode the constitution through the years with our complacency we can no longer afford that no matter who you are or your family situation it only gets worse for everyone if we dont do something now semper fi,119,213,1297
89442,89442,1569485,GodSpeaksToday,2020-07-07T12:21:56.401Z,god is still speaking today~here is a place you can hear what god is saying prophetically through revelation dreams visions insight nuggets of inspired wisdom by message downloads straight from the throne room that breathe life into this dark world these evil times we live in as well as some news etc that need exposing~,826,196,26996
67367,67367,2436617,godsent,2021-01-10T01:49:15.981Z,what can i say but this like most people who are members on gab i want to be a free god loving person who respects everyones right to do whatever they wish without harm to their fellow citizens this isnt rocket science as for myself i enjoy the outdoors staying in shape and meeting beautiful people,42,18,484
45649,45649,1543446,redpilled101,2020-06-18T20:59:36.179Z,gay immigrant to usa legally love everyone but do not agree with blm and what s been happening these last few weeks becoming more and more disillusioned with mainstream media and the lefts politics,39,41,39
95973,95973,3099533,RevJimOPC,2021-01-11T13:28:50.783Z,husband father grandfather reformed pastor of providence opc in tulsa ok go yanks,48,32,76
100582,100582,1287640,I_W_AMERICA,2019-10-16T17:29:18.484Z,we are the resistance,120,10,20
57605,57605,6082334,gummybear_steeveen,2022-09-16T22:24:05.883Z,most times in life whats given can also be taken away make the most out of life and well appreciate the best and worse as they come stayfocused freethinkermaga,260,678,89
37164,37164,1804574,Brian71,2020-11-09T00:48:42.004Z,patriot that loves god guns america trump won 2020,1263,1954,2288
64403,64403,5083044,Zexes,2021-04-25T15:42:16.673Z,the all is mind the universe is mental,329,874,3301
40315,40315,2767746,Thudpucker67,2021-01-10T17:47:33.037Z,akabatmanwayne super straightproud dog daddytrump supporterneanderthal,1154,1373,13866
79230,79230,6361886,Live_easily,2023-06-18T09:22:12.948Z,inspiring the world to embrace innovation and enhance daily lives bringing the future to your fingertips,7,23,0
22826,22826,6384354,Stellascott8900,2023-07-09T17:52:28.595Z,happily married with 2 kids maga a1 2a trump 2024god bless america,163,386,2
63318,63318,2071161,Autumnsue,2021-01-07T04:57:53.794Z,fight the good fight because in the end you know you are right spiritual battle is taking place only traitors and patriots now,67,102,389
54540,54540,5861739,Truth_Central,2022-03-24T10:16:24.112Z,httpsgabcomgroups62980 truth centralim a biblical exorcist demonologistnow exorcist artist photo blender gif video creatordefend the children,17,17,461
38400,38400,6011210,Kimbell,2022-07-29T06:11:11.024Z,get to know me first you know there s certain a lot we can talk about,2,28,1
21357,21357,5994693,afrenmadebyGod,2022-07-14T08:03:39.868Z,hail mary mater dei,7,26,89
70997,70997,5377083,BillHoward100,2021-09-19T00:25:44.530Z,free always slave noways,48,54,4354
28917,28917,6574497,lovekumar,2024-02-08T06:07:25.090Z,httpswwwinstagramcomprofessionalquoteshttpstwittercomprofession68864,47,324,16
82583,82583,769519,Gernburner,2018-09-30T04:43:34.000Z,censorship is the tool of those who have the need to hide actualities from themselves and from others charles bukowski,249,203,3386
