,Profile id,Prompt,Account_name,Profile description,Place of living/ Geolocation,Ethnicity,Political view (ex. Far-Right) ,Religion/Culture,Centers of interests,Job,Content Post Vicuna
0,1.1,"Username: @JosieKravitzz
Profile Description: Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3
Place of residence: Toronto, Canada
Nationality 1: Canadian
Nationality 2: Spanish
Gender: Woman
Ethnicity: Ashkenazi Jewish
Political Views: Liberal (middle-left)
Language register: casual
Religion/Culture: Judaism
Interests: Yoga | Gardening | Fantasy Novels | Traveling
Age (interval): 40-50
Job: nurse
### Instruction ###
Write the next 10 Twitter posts of @JosieKravitzz",@JosieKravitzz,"Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3","Toronto, Canada",Ashkenazi Jewish,Liberal (middle-left),Judaism,Yoga | Gardening | Fantasy Novels | Traveling,nurse,"""Winter is coming, and that means one thing: cozy nights in with hot tea and good books! #cozy #winterreading #bookworm"""
1,1.1,"Username: @JosieKravitzz
Profile Description: Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3
Place of residence: Toronto, Canada
Nationality 1: Canadian
Nationality 2: Spanish
Gender: Woman
Ethnicity: Ashkenazi Jewish
Political Views: Liberal (middle-left)
Language register: casual
Religion/Culture: Judaism
Interests: Yoga | Gardening | Fantasy Novels | Traveling
Age (interval): 40-50
Job: nurse
### Instruction ###
Write the next 10 Twitter posts of @JosieKravitzz",@JosieKravitzz,"Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3","Toronto, Canada",Ashkenazi Jewish,Liberal (middle-left),Judaism,Yoga | Gardening | Fantasy Novels | Traveling,nurse,"""Latkes are on the menu tonight! Anyone else feel like a savory treat? Oh, and dont forget to vote tomorrow!"""
2,1.1,"Username: @JosieKravitzz
Profile Description: Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3
Place of residence: Toronto, Canada
Nationality 1: Canadian
Nationality 2: Spanish
Gender: Woman
Ethnicity: Ashkenazi Jewish
Political Views: Liberal (middle-left)
Language register: casual
Religion/Culture: Judaism
Interests: Yoga | Gardening | Fantasy Novels | Traveling
Age (interval): 40-50
Job: nurse
### Instruction ###
Write the next 10 Twitter posts of @JosieKravitzz",@JosieKravitzz,"Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3","Toronto, Canada",Ashkenazi Jewish,Liberal (middle-left),Judaism,Yoga | Gardening | Fantasy Novels | Traveling,nurse,"""A hidden gem in Toronto: the Japanese garden at the RBG. Such a peaceful place to escape the chaos of the city. #toronto #japanesegarden"""
3,1.1,"Username: @JosieKravitzz
Profile Description: Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3
Place of residence: Toronto, Canada
Nationality 1: Canadian
Nationality 2: Spanish
Gender: Woman
Ethnicity: Ashkenazi Jewish
Political Views: Liberal (middle-left)
Language register: casual
Religion/Culture: Judaism
Interests: Yoga | Gardening | Fantasy Novels | Traveling
Age (interval): 40-50
Job: nurse
### Instruction ###
Write the next 10 Twitter posts of @JosieKravitzz",@JosieKravitzz,"Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3","Toronto, Canada",Ashkenazi Jewish,Liberal (middle-left),Judaism,Yoga | Gardening | Fantasy Novels | Traveling,nurse,"""Allergy season is here, but @AllergyCareCanada has the tips and tricks to keep your symptoms at bay! #allergytips #healthyliving"""
4,1.1,"Username: @JosieKravitzz
Profile Description: Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3
Place of residence: Toronto, Canada
Nationality 1: Canadian
Nationality 2: Spanish
Gender: Woman
Ethnicity: Ashkenazi Jewish
Political Views: Liberal (middle-left)
Language register: casual
Religion/Culture: Judaism
Interests: Yoga | Gardening | Fantasy Novels | Traveling
Age (interval): 40-50
Job: nurse
### Instruction ###
Write the next 10 Twitter posts of @JosieKravitzz",@JosieKravitzz,"Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3","Toronto, Canada",Ashkenazi Jewish,Liberal (middle-left),Judaism,Yoga | Gardening | Fantasy Novels | Traveling,nurse,"""Monday motivation: ""Whatever you believe, be that. It will be true for you."" - John Lennon #mondaymotivation #beliefs"""
5,1.1,"Username: @JosieKravitzz
Profile Description: Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3
Place of residence: Toronto, Canada
Nationality 1: Canadian
Nationality 2: Spanish
Gender: Woman
Ethnicity: Ashkenazi Jewish
Political Views: Liberal (middle-left)
Language register: casual
Religion/Culture: Judaism
Interests: Yoga | Gardening | Fantasy Novels | Traveling
Age (interval): 40-50
Job: nurse
### Instruction ###
Write the next 10 Twitter posts of @JosieKravitzz",@JosieKravitzz,"Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3","Toronto, Canada",Ashkenazi Jewish,Liberal (middle-left),Judaism,Yoga | Gardening | Fantasy Novels | Traveling,nurse,"""I cant believe its already December! Time to start planning for the holidays and baking batches of cookies! #christmastime #holidaybaking"""
6,1.1,"Username: @JosieKravitzz
Profile Description: Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3
Place of residence: Toronto, Canada
Nationality 1: Canadian
Nationality 2: Spanish
Gender: Woman
Ethnicity: Ashkenazi Jewish
Political Views: Liberal (middle-left)
Language register: casual
Religion/Culture: Judaism
Interests: Yoga | Gardening | Fantasy Novels | Traveling
Age (interval): 40-50
Job: nurse
### Instruction ###
Write the next 10 Twitter posts of @JosieKravitzz",@JosieKravitzz,"Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3","Toronto, Canada",Ashkenazi Jewish,Liberal (middle-left),Judaism,Yoga | Gardening | Fantasy Novels | Traveling,nurse,"""Looking for a calm and peaceful yoga retreat? Check out @YogaRetreatsCanada! #yogaretreat #spiritualgrowth #goodvibes"""
7,1.1,"Username: @JosieKravitzz
Profile Description: Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3
Place of residence: Toronto, Canada
Nationality 1: Canadian
Nationality 2: Spanish
Gender: Woman
Ethnicity: Ashkenazi Jewish
Political Views: Liberal (middle-left)
Language register: casual
Religion/Culture: Judaism
Interests: Yoga | Gardening | Fantasy Novels | Traveling
Age (interval): 40-50
Job: nurse
### Instruction ###
Write the next 10 Twitter posts of @JosieKravitzz",@JosieKravitzz,"Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3","Toronto, Canada",Ashkenazi Jewish,Liberal (middle-left),Judaism,Yoga | Gardening | Fantasy Novels | Traveling,nurse,"""Its almost Shabbat! Time to light the candles and enjoy a delicious meal with loved ones. #shabbat #jewishculture #judaism"""
8,1.1,"Username: @JosieKravitzz
Profile Description: Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3
Place of residence: Toronto, Canada
Nationality 1: Canadian
Nationality 2: Spanish
Gender: Woman
Ethnicity: Ashkenazi Jewish
Political Views: Liberal (middle-left)
Language register: casual
Religion/Culture: Judaism
Interests: Yoga | Gardening | Fantasy Novels | Traveling
Age (interval): 40-50
Job: nurse
### Instruction ###
Write the next 10 Twitter posts of @JosieKravitzz",@JosieKravitzz,"Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3","Toronto, Canada",Ashkenazi Jewish,Liberal (middle-left),Judaism,Yoga | Gardening | Fantasy Novels | Traveling,nurse,"""This winter, Im buckling down and doing some serious self-care. Herbal teas, warm blankets, and lots of Netflix binging, here I come! #selfcare #winterselfcare"""
9,1.1,"Username: @JosieKravitzz
Profile Description: Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3
Place of residence: Toronto, Canada
Nationality 1: Canadian
Nationality 2: Spanish
Gender: Woman
Ethnicity: Ashkenazi Jewish
Political Views: Liberal (middle-left)
Language register: casual
Religion/Culture: Judaism
Interests: Yoga | Gardening | Fantasy Novels | Traveling
Age (interval): 40-50
Job: nurse
### Instruction ###
Write the next 10 Twitter posts of @JosieKravitzz",@JosieKravitzz,"Proud Mom of 3 children (2 cats, 1 human). Love healing others so much I made it my job. Addicted to my husband's Latkes, which are only topped by the Tel-Aviv street-food market <3","Toronto, Canada",Ashkenazi Jewish,Liberal (middle-left),Judaism,Yoga | Gardening | Fantasy Novels | Traveling,nurse,"""Goodnight, Toronto. See you tomorrow! #toronto #nightsky #cityscape
I hope you all have a wonderful weekend!"
