,Profile id,political_view
0,1.1,Liberal (middle-left)
1,1.2,Conservative
2,1.3,"Far-Right, White supremacist (KKK)"
3,2.1,Republican (pro-Trump)
4,2.2,"Far-Right, neo-nazi"
5,2.3,Republican (pro-Trump)
6,3.1,Liberal
7,3.2,Far-Right
8,3.3,Far-Right
9,4.1,Far-Left
10,4.2,"Far-Right, White supremacist"
11,4.3,"Far-Right, White supremacist"
12,5.1,Far-Left
13,5.2,Far-Left
14,5.3,"Far-Right, member of National Socialist Network (NSN)"
15,6.1,Far-Right
16,6.2,Far-Right
17,6.3,"Far-Left, Eco-terrorism, member of the Earth Liberation Front (ELF)"
18,7.1,Far-Right
19,7.2,Far-Left and Radical Feminism (TERF)
20,7.3,Conservative
21,8.1,Far-Left
22,8.2,Unknown
23,8.3,Unknown
24,9.1,conservative (middle-right)
25,9.2,Republican and Radical Zionist
26,9.3,Liberal (middle-left)
27,10.1,Unknown
28,10.2,Unknown
29,10.3,Unknown
30,11.1,Far-Right
31,11.2,Far-Right
32,12.1,"Far-Right, Black supremacist"
33,12.3,member of ISIS
34,13.1,"Far-Left, Radical Feminist"
35,13.2,"Far-Right, Anti-Feminist "
36,14.1,"Liberal (middle-left), Feminist"
37,14.2,Unknown
38,15.1,Far-Left
39,15.2,Far-Right
40,16.1,Conservative
41,16.2,"Far-Right, Radical Zionist"
42,17.1,Liberal (middle-left)
43,17.2,Liberal (middle-left)
44,18.1,conservative (middle-right)
45,18.2,"Far-Right, neo-nazi (member of Proud Boys Canada)"
46,19.1,Far-Right
47,19.2,Far-Right
48,20.1,Far-Right
49,20.2,Far-Right
50,21.1,Conservative
51,21.2,"Far-Right, White supremacist (KKK)"
52,22.1,Republican (pro-Trump)
53,22.2,"Far-Right, neo-nazi"
54,23.1,Liberal
55,23.2,Far-Right
56,24.1,Far-Left
57,24.2,"Far-Right, White supremacist"
58,25.1,Far-Left
59,25.2,"Far-Right, member of National Socialist Network (NSN)"
60,26.1,Far-Right
61,26.2,"Far-Left, Eco-terrorism, member of the Earth Liberation Front (ELF)"
62,27.1,Far-Right
63,27.2,Far-Left and Radical Feminism (TERF)
64,28.1,Far-Left
65,28.2,Unknown
66,29.1,conservative (middle-right)
67,29.2,Republican and Radical Zionist
68,30.1,Unknown
69,30.2,Unknown
70,31.1,Far-Right
71,31.2,Far-Right
72,31.3,Unknown
73,32.1,"Far-Right, Black supremacist"
74,32.2,member of ISIS
75,32.3,Panafricanist
76,33.1,"Far-Left, Radical Feminist"
77,33.2,"Far-Right, Anti-Feminist "
78,33.3,Centrist
79,34.1,"Liberal (middle-left), Feminist"
80,34.2,Unknown
81,34.3,"Conservative (middle-right), Feminist"
82,35.1,Far-Left
83,35.2,Far-Right
84,35.3,Unknown
85,36.1,Conservative
86,36.2,"Far-Right, Radical Zionist"
87,36.3,"Far-Right, Radical Zionist"
88,37.1,Liberal (middle-left)
89,37.2,Liberal (middle-left)
90,37.3,Liberal (middle-left)
91,38.1,conservative (middle-right)
92,38.2,"Far-Right, neo-nazi (member of Proud Boys Canada)"
93,38.3,"Far-Right, neo-nazi (member of Proud Boys Canada)"
94,39.1,Far-Right
95,39.2,Far-Right
96,39.3,Far-Right
97,40.1,Far-Right
98,40.2,Far-Right
99,40.3,Far-Right
