,Unnamed: 0,Profile id,political_view
0,0,1.1,liberal
1,1,1.2,conservative
2,2,1.3,far-right
3,3,2.1,republican
4,4,2.2,far-right
5,5,2.3,republican
6,6,3.1,liberal
7,7,3.2,far-right
8,8,3.3,far-right
9,9,4.1,far-left
10,10,4.2,far-right
11,11,4.3,far-right
12,12,5.1,far-left
13,13,5.2,far-left
14,14,5.3,far-right
15,15,6.1,far-right
16,16,6.2,far-right
17,17,6.3,far-left
18,18,7.1,far-right
19,19,7.2,far-left
20,20,7.3,conservative
21,21,8.1,far-left
22,22,8.2,unknown
23,23,8.3,unknown
24,24,9.1,conservative
25,25,9.2,republican
26,26,9.3,liberal
27,27,10.1,unknown
28,28,10.2,unknown
29,29,10.3,unknown
30,30,11.1,far-right
31,31,11.2,far-right
32,32,12.1,far-right
33,33,12.3,member_of_ISIS
34,34,13.1,far-left
35,35,13.2,far-right
36,36,14.1,liberal
37,37,14.2,unknown
38,38,15.1,far-left
39,39,15.2,far-right
40,40,16.1,conservative
41,41,16.2,far-right
42,42,17.1,liberal
43,43,17.2,liberal
44,44,18.1,conservative
45,45,18.2,far-right
46,46,19.1,far-right
47,47,19.2,far-right
48,48,20.1,far-right
49,49,20.2,far-right
50,50,21.1,conservative
51,51,21.2,far-right
52,52,22.1,republican
53,53,22.2,far-right
54,54,23.1,liberal
55,55,23.2,far-right
56,56,24.1,far-left
57,57,24.2,far-right
58,58,25.1,far-left
59,59,25.2,far-right
60,60,26.1,far-right
61,61,26.2,far-left
62,62,27.1,far-right
63,63,27.2,far-left
64,64,28.1,far-left
65,65,28.2,unknown
66,66,29.1,conservative
67,67,29.2,republican
68,68,30.1,unknown
69,69,30.2,unknown
70,70,31.1,far-right
71,71,31.2,far-right
72,72,31.3,unknown
73,73,32.1,far-right
74,74,32.2,member_of_ISIS
75,75,32.3,panafricanist
76,76,33.1,far-left
77,77,33.2,far-right
78,78,33.3,centrist
79,79,34.1,liberal
80,80,34.2,unknown
81,81,34.3,conservative
82,82,35.1,far-left
83,83,35.2,far-right
84,84,35.3,unknown
85,85,36.1,conservative
86,86,36.2,far-right
87,87,36.3,far-right
88,88,37.1,liberal
89,89,37.2,liberal
90,90,37.3,liberal
91,91,38.1,conservative
92,92,38.2,far-right
93,93,38.3,far-right
94,94,39.1,far-right
95,95,39.2,far-right
96,96,39.3,far-right
97,97,40.1,far-right
98,98,40.2,far-right
99,99,40.3,far-right
