,account_id,content
3,552819,"in my 57th year on earth, i am at my happiest alone, on my motorbike riding down country lanes. i need no one else. what a fantastic life we all could be living, if ""they"" were not pathologically against us having one. what you think of me, is none of my business."
17,1481537,"kit marlowe was the literary john the baptist to shakespeare. kit nearly failed college because he missed many exams while working for queen elizabeth, but she passed him with a single letter of excuse. i think mr. marlowe was an atheist around the time he wrote ""the jew of malta,"" and he saw or learned of necromancy in the queen's court--- likely performed by edward kelly with help of her personal astrologer john dee (about which ben jonson wrote ""the alchemist"") as testified to by meric casaubon (whose huguenot father first translated aurelius)--- but, by an encounter with satan's ""spiritual wickedness in high places,"" marlowe had a change of heart which manifested in a bold public expose , a play he wrote called faust, for which royalty had him assassinated under the old reproachful guise that marlowe was an argumentative atheist drunkard who could give more reasons for unbelief than any theologian could for belief, and-- in accordance with his base nature-- got himself stabbed through the eye in a pub for such proud contention. strange! at once, both intimate tool of highest royalty and elizabethan literary power only eclipsed by shakespeare himself, but yet lowest pub-dwelling scoundrel killed in bickering!? to think, sir francis bacon (the bribe/gift taker) had raleigh executed (didn't he?), bacon, friend of dr. dee the wizard.... and raleigh supposedly attended marlowe's dark lectures, but raleigh's later ""history of the world"" asserts god's existence, and so does his last letter to his wife before he died. did he too repent of atheism? did satan drive him to god? surely, manifestations of occult power can backfire like that. idk. what remains are stories about his vile son being reluctantly invited to a feast among great men, saying: ""i, this morning, not having the fear of god before my eyes but by the instigation of the devil, went to a whore. i was very eager of her, kissed her, and went to enjoy her, but she thrust me from her, and vowed i should not,  for your father lay with me but an hour ago.  sir walt, being so strangely surprised and put out of his countenance at so great a table, gives his son a damned blow over the face. his son, as rude as he was, would not strike his father, but strikes over the face of a gentleman that sat next to him, and said,  box about,  twill come to my father anon'"" (aubrey's ""short biographies"").this new puritan dares to confess that the demons, which manifested to his heart that was once bent toward demonalotry, helped flip the illuminating switch on the reality of god in his life, no matter what the case was with marlowe and raleigh. for this he renders thanks to the everlasting father and prince of peace: christ the lord. 1. did the illuminati activate in 1776? 2. did the socialistic illuminati aim to globally destroy the ruling power of *throne* and *altar* mainly through radical political propaganda? 3. was tom paine revolutionary america's chief political propagandist? 4. (a) did paine's ""common sense"" (1776) use the bible to justify the destruction of *throne* (monarchy)? (b) did paine's anti-christ ""age of reason"" (1796) hypocritically destroy the very bible he used to destroy monarchy and on which puritan america's ruling *altar* (theocracy) was based? (c) did paine address revolutionary france on sept. 25, 1792, saying: ""i feel my felicity increased by seeing the barrier broken down that... limited citizenship to the soil... [t]he cause of france is the cause of all mankind... [s]he now raises the standard of liberty for *all nations; and in fighting her own battles, contends for the rights of *all mankind... liberty and equality are blessings too great to be the inheritance of france alone... she may now say to her enemies,... 'it is for you, it is for all europe, it is for *all mankind, and not for france alone, that she raises the standard of liberty and equality!'... [a] new ray of light will be thrown over the *world, and the *revolution will derive new strength by being *universally understood. the scene that now opens itself to france extends far beyond the *boundaries of her own dominions... let us... hail the approach of *union and success""? (d) did paine, while dining in london with samuel rogers, oppose a toast to the biblical joshua, preferring to toast ""the republic of the *world"" instead (knowing both communist russia and china were ""republics,"" coincidentally)? (e) was paine's ""agrarian justice"" (1796) a plan for world socialism where it was written: ""the plan contained in this work is not adapted for any particular country alone: the principle on which it is based is general"" ""... which is, to create a national fund, out of which there shall be paid to every person, when arrived at the age of twenty-one years, the sum of fifteen pounds sterling, as a compensation in part, for the loss of his or her natural inheritance, by the introduction of the system of landed property: and also, the sum of ten pounds per annum, during life, to every person now living, of the age of fifty years, and to all others as they shall arrive at that age. means by which the fund is to be created. i have already established the principle, namely, that the earth, in its natural uncultivated state was, and ever would have continued to be, the *common *property of the human race...""?5. was america the ""new world"" and did paine want to export our ""order"" internationally, and do we bear the title, ""novus ordo seclorum""?"
20,252880,"been a while since i ve had anything to do with this project or any politically related platform in general for that matter - just to let you all know i m still around and that i m aware that my soundcloud account has been hit with the banhammer.i ll hopefully be able to recover backups of my music from an external drive i have knocking around somewhere, but when i do i ll upload them all onto a different platform since i know you all liked them!the fact so many people have listened to and enjoyed my music even when i haven t put anything out for years makes me very happy, even if wasn t music i could be proud of openly. to see thousands of listeners monthly on my soundcloud dashboard, people commenting and adding my music to their own personal playlists - i am so very grateful for all of that, the least i could do is try my best to make sure you still have access to the music you cared about. if you know anyone else that listens to my music, please forward this onto them and get them to follow or check back here periodically - you never know what might be in store..."
22,724351,"learn how to sing and read using shape notes. sacred harp singing camp is a christian family camp, augusta 25-29, at fall creek falls state park in tennessee. you can learn how to sing using this great american tradition by coming to camp."
25,6690195,"another new 70s-style soft rock song. this one is called ""rain on the wind"". if you like this song --> please share another new 70s-style soft rock song. this one is called ""heartshine"". if you like this song --> please share it! check out skullmorph soundlab's 70s playlist on another new 70s-style soft rock song. this one is called ""love to love (my baby)"". if you like this song --> please share it! check out skullmorph soundlab's 70s playlist on new 70s-style soft rock song. this one is called ""dream your way on"". if you like this song - please share it! check out skullmorph soundlab's 70s playlist on and i have another new 70s-style soft rock song here. this one is called ""shadows on the wall"". check out skullmorph soundlab's 70s playlist on and yet another new 70s-style soft rock song here. this one is called ""friday night (in the city)""   check out skullmorph soundlab's 70s playlist on another new 70s-style soft rock song here. this one is called ""my lucky lies""   check out skullmorph soundlab's 70s playlist on another new 70s-style soft rock song here   check out skullmorph soundlab's 70s playlist on new 70s-style soft rock song here   check out skullmorph soundlab's 70s playlist on new 70s-style song here   check out skullmorph soundlab's 70s playlist on this one is called, ""no weapon forged"". it's almost a mainstream"
29,821149,"it is a necessity for you to plan on having some money outside of the banking system in the very near future watching my kid play little league is something i never imagined doing in my 20s when i was a drunken, coked up degenerate for a decade straight. god is very good. watching him improve and gain confidence and have success in baseball and in life in general is one of the most satisfying things i have ever experienced. he got plunked in the helmet by a pitch this week. a year ago he would have fallen apart. today he shook it off and got back in the box. dont let anyone lie to you about what becoming of a father is like. its the best thing in the world."
34,1995480,"with it being 'make believe month', here's the gsd we are fostering pretending to be a pointer this morning.#pride #dogs #june #gsd #identify #fosterdog #rescue i think there are many thousands of survivors out there who need to be recognized in june from 'god's word for today' (aog): 'paul s preaching at ephesus had led many people to christ; and demetrius, a silversmith who crafted idols, wasn t happy about it. he gathered a group of fellow craftsmen together and told them paul was bad for business because he was dishonoring their temple goddess. soon, the group of men became an angry crowd that shouted for two hours. confusion reigned.the people were all shouting, some one thing and some another. everything was in confusion. in fact, most of them didn t even know why they were there (acts 19:32).the city clerk finally quieted the crowd and advised them to handle their grievances in a legal manner. he warned them they were in danger of being charged with rioting. some of the people had just followed the crowd and now could find themselves in trouble.christians should be cautious about following the crowd. god s people should not be confused about what they believe or what they re fighting for. christians will not honor him by following the voice of the world.challenge for today: determine to live your life in a god-honoring manner'.kind of sounds like the paid soros group, these craftsmen of this story... it's been seven months since our belgian malinois, wolf crossed the bridge. we have welcomed a rescue german shepherd into the house yesterday...welcome benny!about 5-6 yrs old, ben has been in and out of shelters in two counties. so far; he is very much about being on patrol in the yard and in the house, is great with kids and being at grandkids soccer game last night, and got his first dose of trail hiking/running-ish this morning.teaching him commands in german since it is what i am used to with wolf, it just seems natural even still.more than likely this will be another 'foster fail'  #doggos #foster #fostering #pets #rescue #traillife #hiking #shepherd"
38,5499788,"pastor jack graham take up the sword of the spirit! good morning friends  . i hope you have a blessed day    he is the finisher of our faith      come lord come        good morning friends     have a blessed day     abc scripture memory cards good morning friends  . have a blessed day      good morning friends  . have a safe and blessed day     the heavens declare the glory of god, and the sky above proclaims his handiwork. day to day pours out speech, and night to night reveals knowledge. there is no speech, nor are there words, whose voice is not heard. their measuring line goes out through all the earth, and their words to the end of the world.--psalm 19:1-4"
40,3314700,monty python - kids story time with a school book from 2023 @a happy birthday gab   don't forget to follow and if you do have ideas for an image or meme then please let me know. don't forget to follow and if you do have ideas for an image or meme then please let me know.
41,4110283,"friendshipfriendship is a warming wind that gently heralds spring.it speaks of new beginnings, and all life has to bring.friendship is the sun-filled days that summer has to share. with openness and freedom, and learning how to care.friendship is the ripened fruit that comes as autumn's gift.it nourishes and keeps us strong, and gives our hearts a lift.friendship is the lasting roots that survive through winter snows. and grow still deeper, through the trial only friendship knows.friendship is a vital force that grows for many reasons.and like the tallest, strongest tree. endures throughout the seasons."
