,account_id,content
310,4396121,"un peu de douceur dans ce monde de bruta little sweetness in this world of crude alice pre sidente   4) de la dette nous aurons beau changer de monnaie sortir de l'euro tant que cette dette d'e tat sera aussi massive il est e vident que les e tats ne retrouveront pas leur plaine souverainete . songe e donc que si les taux reviennent a  ce qui e tait la norme, soit 4%, les seul inte re t couteraient 80 milliards d'euros annuels a  la france.je propose donc un petit bonneteau mone taire mais cette fois-ci a  notre avantage1) cre ation d un euro virtuelle ( c'est de ja  en cours, c'est d'actualite  en chine et les us y songent se rieusement)2) un euro virtuel = un euro et bien entendu il serait de centralise  base  sur le bloc chain ...3) la population et les entreprises l'adoptent massivement tout simplement pcq: l'utilisation en est simple, cela e limine les frais bancaires, les transactions sont rapide, d'un cou t ridiculement faible et personne ne vient mettre son nez dans vos comptes4) les euros, les vrais reviennent donc massivement a  la bce qui e met les euros virtuels5) apre s une premie re pe riode ou  l euro reste a  100 % en garantie de l'euro virtuelle comme l'or fu la contrepartie du dollar, de manie re classique on re duit les re serves a  10 %6) l'ensemble des euros en france en billet et compte en banque est de 2,3 milliards de milliard la dette d'e tat 2500 milliards (oui ridicules)7) on rembourse la dette alice pre sidente   un peu de politique internationale avant de repasser a  des the mes plus lourds3) de la surpopulationalors que dans leur grande sagesse les peuples de pays les plus de velopper et cultiver re duisent d'instinct leur natalite , des contre  plus exotique continue a  se reproduire a  un rythme aussi effre ne  qu'inquie tantnous pouvons re soudre cela de fac on tre s simple et sympathique :1) financ ons l'achat et le de ploiement sur le terrain d'appareille a  e chographie portative2) laissons les gauchistes au nom des droits de l'homme et patati patata distribue  comme des bonbons des pilules abortives3) laisser mijoter a  feu doux4) les merveilleuses ""civilisation"" pour lesquelles la naissance d'une fille est une catastrophe utiliserons les points un et deux5) de s que les naissances seront a  80 % des hommes me caniquement avec un peu de patient le souci se re sout tout seul alice pre sidente   2) de la mondialisation du protectionnisme et de la monnaiemaintenant que nous sommes entre gents de bonne compagnie (voire point 1 et n'he site pas a  l'enrichir)a  en e couter certain il suffirait de nous retrancher derrie re des barrie res douanie res et sortir de l'euro pour retrouver le temps be ni des 30 glorieuses. si bien des arguments peuvent plaider en la faveur de ce genre de politique, bien d autres inconve nients sont a  pre voir ...comment donc garder notre e conomie mondialiser cre atrice de richesse et de bon emploi tout en de veloppant nos territoires pe riphe riques ?1) cre ation d'une nouvelle monnaie tout en gardant l'euro2) la contrevaleur de cette nouvelle monnaie sera dans un premier temps les biens agricoles produits dans le pays (oui sa demande de l'investissement)3) cette monnaie ne sera pas changeable4) elle remplacera en partie un % des allocations de tous types5) en petite proportion de manie re contro le e elle permettra des augmentations de salaire de fiscalise  pour les entreprises6) une politique volontariste sur base de cette e conomie (de facto prote ge  de la mondialisation) viendra en aide a  tout entrepreneur qui veut de velopper de petite ou moyenne entreprise qui fonctionne dans cette nouvelle monnaie7) en partant de la base des besoins e conomique nous avons une chance de re industrialiser nos territoires et d'augmenter les biens et service produit localement8) l'ensemble des charges e conomise es en euros via le payement des allocations dans cette nouvelle monnaie nous permettra d'investir dans cette nouvelle e conomie faite d'agriculture d'artisanat de pme9) voila  nous avons garde  nos fleurons e conomiques qui ope re  sur le marche  mondial et nous avons cre e  un protectionnisme local difficile a  conter par nos partenaires commerciaux nb) je simplifie a  outrance pour que cela reste digeste a  lire, toutes vos remarques ide es sont souhaite es et les bienvenues personne n'a jamais songe  a  ce qu'il ferait s'il avait le pouvoir .je lance la se rie alice pre sidente   1)la remigrations oui mais comment :1) construction de logements sociaux dans les pays d'origine qu'il soit attrayant et bien situe  (je sais ne gueuler pas), on propose ensuite aux habitants de hlm (avec insistance) de gentiment les rapatrie s dans les logements tout neuf et de continuer a  profiter des allocs avec un pouvoir d achat force ment dope nous re cupe rons donc des logements qui valent bien plus qu'un appart dans un bled on les vend via des emprunts sociaux a  des nationaux qui ont e te  oblige  de trop s'e loigne des grands centres et bassin d'emploi2)nous de ployons force de police et arme s pour appliquer dans les quartiers concerne  la politique de la tole rance 0, plus de deal plus de rode o plus de rien en fait(se devrait convaincre les retissant a tente  leur chance au soleil)3)plus aucun signe ou manifestation religieuse tole re e dans l'espace public, les salafistes et fre res muze classe  et traite  pour ce qu'ils sont une secte( sa devrait en convaincre d autres de partir au soleil)les points 4 et 5 seront de voile s ( c est le cas a  le dire) qu'apre s application des points 1 a  3  "
311,2144648,"the online store is finally live! there's a limited variety right now with just a few simple designs, but i'm regularly adding new designs and new products; personalized merch coming below with design ideas or if there's something you'd like to see in the store! @originalivorydove @get_right i get the ""marriage is sacred"" and similar arguments, but in our society, it's a legal contract for government recognition as a partnership with certain tax and other legal benefits.if we have freedom of religion, why should a marriage's legality be subject to one religion's rules instead of being treated more like the legal contract it is between two consenting adults?if you want to argue the use of clergymen to perform a ceremony in violation of their tenants, by all means, do that, but all this boils down to is a failure to separate church and state, only allowing an estate partnership agreement between two parties that adhere to a set of religious tenants.by that logic, only christian couples should be allowed to get married, so are you against non-christian couple's rights or just gay couple's rights? see, guns don't have to look scary! this is my custom-built .223 wylde ar-pistol, in cerakote bazooka pink and blue raspberry. isn't it cute!after a year of part hunting (i had to settle on a few, because they're hard to find), and at least in (who keeps track?), my unicorn is finally finished!(--more photos in comments--)"
358,4445099,"this whole thing is among the worst of issues costing a good pitcher his i used to believe in the ""rule of law"".i used to believe in the integrity of the criminal justice system.i used to believe in ""truth, justice and the american way"".i used to believe in the medical system.i used to believe in the clergy.i used to be so naive. is there anything left in america that we can all rally around and support, smile freely and enjoy, without the stink of division politics dampening our spirits and driving wedges between us? just asking for a friend. see: sports, music, tv, movies, news, soft drinks, gym shoes, advertisements, medicine, religion, the list keep going."
371,5684860,"dissidents,we need to discuss conspiracy theory (ct) and its dangers. ct is like porn, but for your mind instead of your dick. it's addictive and destructive. porn lets lonely people simulate fake lust and sexual gratification, ct lets stupid people simulate fake intellect and mental stimulation.it frankly matters not at all how many cts you want to cite and say ""see, they said this was a ct!"" it's overwhelmingly a waste of your time and energy. ct will suck you in and reduce you to wasting your whole life chasing that pink elephant, convinced that one more ""truth"" will surely break everything wide open this time.you may be convinced that 'this time will be different', but it never is. much like porn, you will find yourself sinking deeper and deeper into depravity. you might start with something innocuous like covid-19 being planned. but then you find yourself angry at some rocks in a field in georgia. then you become convinced government agents are actually pulling the triggers in mass shootings. then you yell that actually all the shootings are fake, never happened, and it was all actors and squibs. next, you're shouting that cia drones are shooting missiles to stop election audits. finally, you end up convinced that you're surrounded by feds who are monitoring you, watching you, and influencing your life. you turn paranoid and reclusive, and then you die friendless, unloved, alone, in a shit-reeking trailer, estranged from your family, having only screamed about your conspiracies to nobody who cares at all.ct is irrelevant for this reason: nobody will ever care, even if they care you can never prove it, and even if you can prove it nobody will do anything, and even if someone does anything you'll just call them a fed.rather than improving your mind, you are shoveling it full of diarrhea from nonsense bitchute videos. rather than exercising lively debate, you only can spew talking points and formulaic 'gotchas' via answers you were provided ahead of time. if any 'skeptic' deviates and asks you questions about your theory that you weren't told how to answer, your only response is going to be to turn to rage and anger, because like an addict being told that they have a problem, ct has become such a central part of your identity that when threatened, you can only take it as a personal attack.the worst part is that ct deludes you into thinking that everything in the world actually has 'order'. by believing in ct, it means you must think that instead of insane chaos, that there's actually some 'puppet master' behind it. fbi, cia, bill gates, whatever. and that if you can just take 'them' down, magically everything will be fixed and you can 'return to normal'.yet it never happens. there is no 'going back to normal'. escape the trap of ct before it's too late."
388,3398870,"@hazeline the science of the virus does not change.... the common cold is a corona virus. why hasn't there been a vaccine for the common cold? there is no such thing! this pos building looks like it's going to cut a big one. an obama library fart! lmfao. i can't..... it's.... you know..... it's fucking funny. if it fits..... go tulsi! rip hulk. thank you, god bless your family. i can see it now - tulsi gabbard - america's first female president!! she is awesome!"
446,1398613,"@mlkstudios @lisa_alba what is up with the blaming ""jews"" for everything. sounds like nazi germany. they are the same as the rest of us gentiles. good and bad. many of the bad ones are fake jews, not really jews at all. real jews believe in messiah yeshua. those that dont are not real jews. but not all jews are to blame for other mens evil. either way all evil answers to god, no matter their nationality."
488,4768251,"#jesus as an infant is #god with divine power to heal #trutha #baby in the manger is the omnipotent creator of the heavens and the earth ! #truthlet us #pray and #honour the infant who is our saviour and redeemer !#holyinfant of #praguea special devotion to the #divinechild originated with the carmelites in the city of prague, bohemia, in the beginning of the seventeenth century. princes polyxedia of lobkowitz had received, as a wedding gift from her mother, a statue of the divine child, previously brought from spain. after the death of her husband, the princess devoted herself to works of charity and was particularly helpful to the carmelites in prague. when in 1628 the carmelite monastery had been reduce to poverty, owing to the ravages of war, the princess gave her precious statue to the carmelites, saying:""i give you what i prize most highly in the world; honor and respect the child jesus and you shall never be in want.""her gift was placed in the carmelite oratory. the words of the princess proved prophetic for as long as the carmelites kept up their devotion to the divine infant of prague everything prospered with them. the carmelites were later forced to flee form the city and in the confusion of the war, they were unable to take with them their miraculous statue. the invaders seized it, and threw it into a pile of rubbish. in 1635, peace came to prague and the carmelites returned. one of them, #fathercyril, who had previously received great spiritual help through his devotion to the infant of prague, sought the statue, and found it amidst the rubbish. overjoyed, he placed the statue again in the oratory. as father cyril was one day praying devoutedly before the statue, he heard a voice saying: ""have mercy on me and i will have mercy on you. return my hands to me and i shall give you peace. the more you honor me, the more i shall bless you.""startled by these words, father cyril examined the statue and upon drawing aside the mantle covering it, he found that both hands of the statue were broken off. the hands were restored to the statue through the generosity of a client of the divine child. once more, peace and prosperity returned to the carmelites.devotion to the divine child had always been practiced by the carmelites, for through their mother, mary, this divine child had come to the world. st. theresa of jesus practice particular devotion to the divine child. #sainttherese, the little flower, was also a most fervent venerator.#infant #jesus #catholicgab #prayer"
492,1292112,"777 general order respecting the observance of the sabbath!at the height of the civil war in 1862, president abraham lincoln issued this general order regarding the observance of the sabbath in the military. in his general order, president lincoln quoted from two separate general orders (february 26, and july 9, 1776) issued by george washington during the revolutionary war. 777 this describes the rapture (catching away) of the church :""and as it came to pass in the days of noe, so shall it be also in the days of the son of man. they did eat and drink, they married wives, and were given in marriage, until the day that noe entered into the ark: and the flood came and destroyed them all.likewise as it came to pass, in the days of lot: they did eat and drink, they bought and sold, they planted and built.and in the day that lot went out of sodom, it rained fire and brimstone from heaven, and destroyed them all. even thus shall it be in the day when the son of man shall be revealed.""-luke 17: 26-30 777 captain christopher newport arrived on april 26, 1607, with 105 settlers on the ships susan constant, godspeed, and discovery.their ""first landing"" was at cape henry, named for prince henry of wales, the eldest son of king james i. their first act was to erect a wooden cross and commence a prayer meeting, led by church of england minister, rev. robert 777 777 777 amen!!! amen!! children are a blessing from our lord!! accept jesus into your life, now! we are in the season that he foretold of in the gospels. the ""catching away of the church"" is imminent, and believers must be ready! it will happen on an ordinary day, so be vigilant!"
530,5216107,"sean hannity is a textbook example of  tick tock  news coverage. in every episode, #republicans are just a few more days away from catching, exposing, or even  locking up  #democrats. and viewers are met by a titillated hannity who broadcasts just how close conservatives are to justice. theeeennnnnnnnnn nothing happens...some might even call the show s framework a political soap opera for the boomer crowd... but hey, who am i to judge -    "
861,4558197,"jesus was a jew. according to your rhetoric he and the rest of the jewish people are guilty of everything bad in america (media, political power, etc.).you do not understand that most jews in america are simply leftists and it has nothing to do with judaism or religion in general.biden and even the pope do not represent all christians in the world. so why do people here think that soros represents the entire jewish people?why is it so hard for people here to understand that political views among the left in america have nothing to do with religion and anything to do with ignorance? are jews welcome here on gab?i am asking as a jew myself being a leftist has nothing to do with judaism. most jews in america are simply leftists who watch too much of cnn. again, this has nothing to do with judaism.stop discrediting the entire jewish people because of the actions of individuals like soros, etc. as a jew i am here after facebook and twitter censored me. tech giants targets anyone who refuses to embrace the narrative and agenda of the left.thank you @a for guaranteeing our right to free speech.hi everyone, just let me know: are jews welcome here? please comment below i'm jewish and support kyle rittenhouse. stop blaming jews all the time for what some individuals do.one jew like soros does not represent the entire jewish people. just like the pope does not represent all christians.just for the record i support gab and back your right to free speech."
