,account_id,content
0,2772719,"lord please help strengthen all of us!. strengthen our patience, and open our eyes to be able to see all of the areas in our lives that may need more of it!  amen    this marine is like fine wine!  he just keeps getting better!     this little girl just made more sense and had more courage, than 90%, if not more, than our current politician's! love her!  "
14,439911,"#fauci will irs tax you on your home's ""appreciated"" value? a case before the supreme court now may redefine ""income"" once again. ""income"" did not initially include wages. then they changed the definition. now they want to tax you on ""unrealized gain"", assets that have gone up in value even though you did not sell or withdraw any money. it could be a precedent with devastating effect. is this why biden wants an irs army (and the gop goes along with mon 4apr22david knight show podcast* skousen   preparing for ""mad max"" scenario* dc protestors expose infanticide* food prices in germany rise 20%-50% today* iowa law to require curriculum posted for parents to see. #homeschool curriculum issue is sorting thru vast the david knight show 4apr22 - unabridged* skousen   preparing for ""mad max"" scenario* dc protestors expose infanticide* food prices in germany rise 20%-50% today* iowa law to require curriculum posted for parents to see. #homeschool curriculum issue is sorting thru vast preparing for ""mad max"" scenariois nuclear war coming? will the dollar collapse? where to go and how to prepare for what's comingtoday's interview with joel skousen, worldaffairsbrief. comfull interview at interview: skousen - preparing for ""mad max"" scenariojoel skousen, is nuclear war coming? will the dollar collapse? where to go and how to prepare for what's remember me?david knight returns to give you an update on his health and how he isworking toward getting back in the ricky schroeder...this one sees#freedomconvoy #freedomtrucker #novaccine #novaccinemandate #novaccinepassport you can now watch the show live on kick every weekday, 9:00am est - 12:00pm est. click the link and follow our kick channel."
16,3110367,"children have never been very good at listening to their elders, but they have never failed to imitate them. they must, they have no other models. -james baldwin or anyone from the left, for that matter. must watch video of the highwire interviewing a whistleblower on the efficacy of ivermectin. if you don't have time for the full show (although all if it is worth watching), advance to the 48:50 mark. ""let's start saving lives.""  this is from paul harvey. it seems there have been warnings of what was to come for decades."
18,1926101,"when will the real criminals be arrested and face did you know?children that received a flu vaccine were 440% more likely to suffer a viral infection compared to children that did not receive a flu vaccine.those vaccinated with the flu vaccine - cough, sneeze, breath, and otherwise transmit 640% more viral particles when they become infected by another virus.if an individual has had five consecutive flu shots between 1970 and 1980 (the years studied) his/her chances of getting alzheimer's disease is ten times higher than if they had one, two or no shots.children who get the flu vaccine may have 3x the risk of hospitalization for flu.the flu shot can cause"
27,66643,"i ask you to consider this, with absolutely no consideration of right, wrong or morality the only lens of perspective i'm trying to highlight is the following. if those who would kill an unborn out of desperation, disdain or even convenience what will a child they are forced to raise become? my point is until we account for the consequences of our ""solutions"" we will fail to escape the cycles of growth and destruction inherent to our history. remember people just because we're about to hit hard times doesn't mean we can slack off on the f**kery! if you get involved in a conversation with someone new and you find out they're vaccinated and they find out you are not simply look at them and say i sent my vaccine to africa where it's needed what about you you selfish bastard! it's not only about playing their game it's about making them realize they suck at it. @exspert bring back state militias and have training for every man woman and child to cope with civil and natural disasters so the populace can coordinate and be responsible. you elect a sheriff but his main duty is to show up and say don't kill him we got to give him a trial. and above all part of this training should be in manners and constitutional rights train each individual to be strong valuing circles of trust the smallest and most trusted being the family the next neighbors after that community. the entire goal being to bring back the military sovereignty of each state. from the moment our troops swear to protect this country from enemies foreign and domestic they are taking orders from the ones they should be killing and going overseas to violate those who are in the way of corporate interests. who needs a meme!!!"
28,1538323,"empower yourselves!the government will never save anyone from financial ruin become financially independent so you don t have to answer to attention, petite ladies! i highly recommend the concealment compression shorts from the well armed woman for your concealed carry! i just tried them on and even tried them with different fits of jeans and it s amazing! i cannot tell you how long i ve been looking for a conceal-carry holster that doesn t print. i m so happy! best part: the shorts are made in our beautiful usa! #concealcarry #firearms #holsters"
33,1504865,"  new episode out now   ""three vanished, one missing: is xi facing the fate of past ccp leaders?""  xi jinping hasn t appeared in public for 14 days.  key ccp meetings mysteriously canceled.  people's daily: eerily silent.  a top general suddenly dead.  is this de ja  vu from the downfall of hua guofeng, hu yaobang, and zhao ziyang?in this episode, i break down what s really going on behind the red curtain   and why history may be repeating itself.  watch now! plus, check out the new wise quest eye patches in jennifer s store at your support helps me continue bringing you the inconvenient truths. the ccp s much-anticipated but long-delayed fourth plenum is finally happening!but what will really go down behind those closed doors?will xi jinping step down?and if he does, who will take his place?  click to sign up for free, follow me, and watch my quick updates! this video is right at the top left. the ccp s much-anticipated but long-delayed fourth plenum is finally happening!but what will really go down behind those closed doors?will xi jinping step down?and if he does, who will take his place?  click to sign up for free, follow me, and watch my quick updates! this video is right at the top left. the ccp s much-anticipated but long-delayed fourth plenum is finally happening!but what will really go down behind those closed doors?will xi jinping step down?and if he does, who will take his place?  click to sign up for free, follow me, and watch my quick updates! this video is right at the top left.  the recent ""big recall"" of pro-ccp lawmakers in taiwan   and its ""big failure""   has exposed an even more dangerous and urgent threat: the ccp s plan b to take over taiwan legally from within.  the ccp seems to have cracked the code on how to use democracy to defeat democracy. but so far, democratic societies haven t figured out how to counter the ccp s playbook. i ve proposed a solution   maybe the only one. watch now at taiwan s failed recall vote: a wake-up call2:53 ccp s secret plan: using democracy to destroy democracy4:06 step 1: create controlled chaos in taiwan5:02 step 2: paralyze taiwan s government6:00 step 3: a  legal  invitation to the pla8:53 taiwan s legislature becomes a weapon9:52 cutting defense, silencing the military10:22 destroying taiwan s watchdogs and budget control11:14 ccp s deadline: before the 2028 election12:29 gao zhikai s shocking proposal13:32 the xi'an incident and its historical impact15:10 the only way to break the plot  the recent ""big recall"" of pro-ccp lawmakers in taiwan   and its ""big failure""   has exposed an even more dangerous and urgent threat: the ccp s plan b to take over taiwan legally from within.  the ccp seems to have cracked the code on how to use democracy to defeat democracy. but so far, democratic societies haven t figured out how to counter the ccp s playbook. i ve proposed a solution   maybe the only one. watch now at taiwan s failed recall vote: a wake-up call2:53 ccp s secret plan: using democracy to destroy democracy4:06 step 1: create controlled chaos in taiwan5:02 step 2: paralyze taiwan s government6:00 step 3: a  legal  invitation to the pla8:53 taiwan s legislature becomes a weapon9:52 cutting defense, silencing the military10:22 destroying taiwan s watchdogs and budget control11:14 ccp s deadline: before the 2028 election12:29 gao zhikai s shocking proposal13:32 the xi'an incident and its historical impact15:10 the only way to break the plot  the recent ""big recall"" of pro-ccp lawmakers in taiwan   and its ""big failure""   has exposed an even more dangerous and urgent threat: the ccp s plan b to take over taiwan legally from within.  the ccp seems to have cracked the code on how to use democracy to defeat democracy. but so far, democratic societies haven t figured out how to counter the ccp s playbook. i ve proposed a solution   maybe the only one. watch now at taiwan s failed recall vote: a wake-up call2:53 ccp s secret plan: using democracy to destroy democracy4:06 step 1: create controlled chaos in taiwan5:02 step 2: paralyze taiwan s government6:00 step 3: a  legal  invitation to the pla8:53 taiwan s legislature becomes a weapon9:52 cutting defense, silencing the military10:22 destroying taiwan s watchdogs and budget control11:14 ccp s deadline: before the 2028 election12:29 gao zhikai s shocking proposal13:32 the xi'an incident and its historical impact15:10 the only way to break the plot dear everybody,since youtube has demonetized me, here's a way to support me at no cost to you:if you open an account and follow me on ganjing worldusing this link ( ), i will receive payment!opening an account on ganjing world is incredibly simple; all you need is an email address. nothing else   absolutely nothing else   will be asked from you!ganjing world is our new free speech platform. unlike youtube or some other platforms, it won't censor us. it offers numerous features and is growing very quickly! such a wonderful platform shen yun creations to enjoy top dance, music, & vocal works of shen yun artists! subscribe now with the following link to get full access & 10% off!     "
37,1753974,"i started working on this timeline in february. i had my reservations about putting this on here because it is very controversial. researching, i went into to this from a neutral stance, a ""what if"" mentality. it is not something i took up lightly. the first couple of months every claim i looked up and then verified said claim as true pissed me off to the max!!! eventually you become desensitized and it becomes a ""sounds about right"" type of thing (remember i got the neutral mentality). so, with that said i'm going to post what i have found so far...and remember all context matters...it is wise to read newspaper clips to get full context...this is a lot for the average person enjoy!!!fyi: i hate no one, to each their own. my goal is not to correct the system, one man will not make a difference. my goal is to wake people up to the system and when and how they set it up. ""those who dont know history are doomed to repeat it"" only applies if people know the true history. right now people have no idea and are basing their corrections on fictional history....in other words thing will never be corrected if people continue to be mislead about the"
42,3137938,"@unconscionableadmin interesting read (foster's and yours). a couple of things they made me consider...should we apply this same thought process to other institutions that have moved hard left? i'm thinking primarily of colleges/universities, journalism, and the arts. and is there a point in time where the institution is too far gone? obviously god can work miracles anywhere, but how much compromise can one endure before moving on?"
44,2442678,"red pill recipe for today (2021-01-12)""why existence? why not rather nothingness?"" this question has been asked for millennia.i use a person's reaction to that question as a rough test for the degree to which they possess a spiritual nature.a simple test for spiritual nature: pose the existence question (sample reactions follow) a) it just happens. no point thinking about it. b) oh wow groovy! a big playground! c) holy crap! that's kinda terrifying. hmmm...(c) indicates a person currently capable of feeling awe. in other words, possesses a spiritual nature. (a), (b) tend to be fails, but possibly not permanently. encourage (c) to revisit that awe from time to time throughout the day; ""hold it in your thoughts"". essentially, it is a stripped-down, bare-essentials form of worship. no prior experience with religion or religious institutions is necessary. in fact, prejudice against same is not an insurmountable obstacle. the intended effect is to focus the imagination on what is, rather than what isn't. the experience of awe is very much in-the-moment. once experienced, there is no denying its reality.why is this important? we use our imaginations in a number of ways. for example, reviewing the past, gaming/prepping future scenarios, daydreaming (recreation), daydreaming (unreality, desires, power, utopias, other unhealthy things, what isn't)but most importantly we use it to interpret present reality. what is.the first three uses are normal. the fourth, while common in some, is unethical, especially when it works against or in place of the fifth, which is the most ethical. we perform actions in the present, and should judge the results of those actions according to what is. the action->result->assessment process is critically important in developing a healthy intuition. proper feedback.on the other hand, actions performed under guidance of an intuition informed by what isn't will tend to have both unfavorable results and a distorted (or missing) assessment of those actions; an improper interpretation of reality. habitually reinforced, actions on this path tend to barbarism. as an example, consider for a moment the state of our educational system, and what informs it.when a person focuses on what isn't, rather than what is, their intuition does not develop properly.these things are connected: awe, humility, temperance, decorum, serenity, happiness, fidelity to facts, a creator. they point in the direction of civilization. i believe that a cultivation of awe is a good first step toward an ethical reality. so the recipe is: ask the existence question. nurture awe. you can probably wing it from there :)extra credit: apply to ((b)&(a), and happy hunting!).(credit where credit is due: distilled(<3000 chars!)/inspired & w h/t irving babbitt) i just stumbled across this in my comics archive. a vaughn bode illustration from 1975 or earlier, inked by his son mark and published circa 1983.no offense is intended. it just struck me as timely, and cute (ymmv), in light of the twitter purge."
